token	apariciones	ejemplos (Strong: definición)
to	174	G1887: Otro. Occurring en succeeding día, es decir, (G2250 (ἡμέρα) siendo implícito) to-morrow || G680: Tocó. Propiamente, a attach uno mismo to, es decir, a tocar (en muchos implícito relations) || G3982: Confío. Convince (por argument, verdadero o falso); por analogía, a pacify o conciliate (por otro fair medio); reflexivamente o pasivamente, a asentimiento (to evidencia o autoridad), a rely (por inward certainty)
mar	57	G2949: Mar. Billow (como bursting o toppling) || G3864: Marítima. A lo largo de mar, es decir, maritime (lacustrine) || G2639: Mar puesta en clase. Poner abajo, es decir, (figurativamente) a enrol
natural	48	G5374: Filipenses. Philippesian (Philippian), es decir, natural de Philippi || G5449: Natura. Crecimiento (por germination o expansion), es decir, (por implicación) natural production (lineal descenso); por extensión, genus o clase; figurativamente, natural disposición, constitution o uso || G5449: Natura. Crecimiento (por germination o expansion), es decir, (por implicación) natural production (lineal descenso); por extensión, genus o clase; figurativamente, natural disposición, constitution o uso
los	42	G4158: Ropa que llegaba hasta los pies. Vestir (G2066 (ἐσθής) implícito) reaching ankles || G441: Que agradan á los hombres. Hombre-courting, es decir, fawning || G933: Palacios de los reyes. Palacio
idea	39	G4649: Blanco. Quizá afín a G4626 (σκάπτω) mediante la idea de concealment; compárese G4629 (σκέπασμα)); vigilar (sentry o scout), es decir, (por implicación) goal || G4628: Piernas. Mediante la idea de leanness); leg (como lank) || G5494: Invierno. Afín a base de 5490 mediante la idea de channel), significado tormenta (como pouring lluvia); por implicación, rainy tiempo, es decir, invierno
vida	38	G2198: Vida. Vivir (literal o figurativamente) || G982: Esta vida. Relating a presente existencia || G2212: Buscan. Buscar (literal o figurativamente); especialmente, (por hebraísmo) a adoración (Dios), o (en malo sentido) a parcela (contra vida)
monte	38	G3735: Monte. Quizá afín a G142 (αἴρω); compárese G3733 (ὄρνις)); monte (como lifting sí mismo encima de llano) || G3735: Monte. Quizá afín a G142 (αἴρω); compárese G3733 (ὄρνις)); monte (como lifting sí mismo encima de llano) || G1638: Olivar. Olive-orchard, es decir, (especialmente) Monte de Olives
red	37	G4209: Púrpura. "purple" mussel, es decir, (por implicación) red-blue color sí mismo, y finally vestidura teñido con ello || G293: Red. A (fishing) red (como thrown acerca de pez) || G293: Red. A (fishing) red (como thrown acerca de pez)
alto	31	G749: Pontífice. Alto-sacerdote (literalmente, de Judíos, typically, Cristo); por extensión jefe sacerdote || G5308: Alto. Encumbrado (en lugar o carácter) || G748: Sacerdotal. Alto-priestly
romper	31	G2622: Partió. Romper abajo, es decir, divide || G2806: Partí. Romper (especialmente, de pan) || G4404: Mañana. En alba; por implicación, día-romper vigilar
vista	30	G4308: Veía. Behold en avance, es decir, (activamente) a notice (otro) previamente, o (medio voz) a guardar en (propio propio) vista || G308: Ven. Mirar arriba; por implicación, a recover vista || G309: Vista. Restoration de vista
he	30	G718: He desposado. Coyuntura, es decir, (figurativamente) a woo (reflexivamente, a betroth) || G1989: He escrito. Ordenar (por escritura), es decir, (genitivo caso) a communicate por carta (para cualquier propósito) || G4280: He dicho. Usado como alternativo de G4277 (προέπω); a decir already, predict
pueblo	30	G1217: Hacedor. Trabajador para pueblo, es decir, mechanic (hablado de Creator) || G1218: Pueblo. Público (como atado junto socially) || G2992: Pueblo (en general; así diferente de G1218 (δῆμος), el cual denota propio propio populace)
persian	30	G1639: Elamitas. Elamite o Persian || G4069: Pérsida. Persian mujer; Persis, Cristiano femenino || H133: Admatha, Persian nobleman
fin	28	G2443: Para que. Compárese G3588 (ὁ)); a fin de que (denotando el propósito o el resultado) || G5177: Ser. Afín a base de G5088 (τίκτω) mediante la idea de effecting; propiamente, a affect; o (especialmente), a hit o luz sobre (como marca a ser reached), es decir, (transitivamente) a attain o seguro objeto o fin, o (intra… || G2777: Cabecera. Propiamente, knob, es decir, (por implicación) rodar (por extensión de fin de palo en el cual manuscript era rolled)
